,ghi,ghi_std,ghi_min,ghi_max,dni,dni_std,dni_min,dni_max,dhi,dhi_std,dhi_min,dhi_max,lwd,lwd_std,lwd_min,lwd_max,temp_air,relative_humidity,pressure
2020-08-10 00:00:00+00:00,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.1,-1.0,-1.0,391.0,0.1,391.0,391.0,24.4,57.0,992.0
2020-08-10 00:15:00+00:00,-1.0,0.0,-1.0,-1.0,0.0,0.1,0.0,0.0,-1.0,0.0,-1.0,-1.0,391.0,0.1,391.0,391.0,23.9,59.7,992.0
2020-08-10 00:30:00+00:00,-1.0,0.0,-1.0,-1.0,0.0,0.1,0.0,0.0,-1.0,0.0,-1.0,-1.0,393.0,0.1,393.0,393.0,24.0,58.3,992.0
2020-08-10 00:45:00+00:00,-1.0,0.0,-1.0,-1.0,0.0,0.1,0.0,0.0,-1.0,0.0,-1.0,-1.0,394.0,0.1,394.0,395.0,24.3,55.9,992.0
2020-08-10 01:00:00+00:00,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,395.0,0.2,394.0,395.0,24.6,54.4,993.0
2020-08-10 01:15:00+00:00,-1.0,0.0,-1.0,-1.0,0.0,0.1,0.0,0.0,-1.0,0.0,-1.0,-1.0,396.0,0.2,396.0,397.0,24.9,52.9,993.0
2020-08-10 01:30:00+00:00,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.1,-1.0,-1.0,406.0,0.1,406.0,406.0,24.5,54.3,993.0
2020-08-10 01:45:00+00:00,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,406.0,0.1,406.0,407.0,24.6,54.7,993.0
2020-08-10 02:00:00+00:00,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,395.0,0.1,395.0,396.0,24.1,57.4,993.0
2020-08-10 02:15:00+00:00,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,402.0,0.2,402.0,402.0,23.9,57.6,993.0
2020-08-10 02:30:00+00:00,-1.0,0.0,-1.0,-1.0,0.0,0.1,0.0,0.0,-1.0,0.0,-1.0,-1.0,406.0,0.1,406.0,406.0,24.4,55.2,994.0
2020-08-10 02:45:00+00:00,-1.0,0.1,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,404.0,0.1,403.0,404.0,24.4,55.4,994.0
2020-08-10 03:00:00+00:00,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,401.0,0.2,401.0,402.0,24.3,55.7,994.0
2020-08-10 03:15:00+00:00,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,375.0,0.4,375.0,376.0,24.1,56.4,994.0
2020-08-10 03:30:00+00:00,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,369.0,0.1,369.0,369.0,24.0,56.5,993.0
2020-08-10 03:45:00+00:00,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,370.0,0.2,369.0,370.0,23.9,57.0,993.0
2020-08-10 04:00:00+00:00,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,370.0,0.0,370.0,370.0,23.5,58.7,993.0
2020-08-10 04:15:00+00:00,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,370.0,0.0,370.0,370.0,23.4,59.5,993.0
2020-08-10 04:30:00+00:00,2.0,0.1,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.1,1.0,2.0,368.0,0.1,368.0,368.0,23.0,61.5,993.0
2020-08-10 04:45:00+00:00,10.0,0.2,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.2,9.0,10.0,365.0,0.1,365.0,365.0,22.7,63.3,993.0
2020-08-10 05:00:00+00:00,17.0,0.1,17.0,17.0,0.0,0.1,0.0,0.0,17.0,0.1,16.0,17.0,363.0,0.1,362.0,363.0,22.4,64.6,993.0
2020-08-10 05:15:00+00:00,22.0,0.1,22.0,22.0,0.0,0.1,0.0,0.0,22.0,0.0,21.0,22.0,363.0,0.1,363.0,363.0,22.4,65.1,993.0
2020-08-10 05:30:00+00:00,28.0,0.3,28.0,29.0,2.0,0.2,1.0,2.0,28.0,0.3,27.0,28.0,364.0,0.1,364.0,365.0,22.5,65.2,993.0
2020-08-10 05:45:00+00:00,42.0,1.1,41.0,45.0,19.0,3.7,16.0,28.0,39.0,0.4,38.0,39.0,364.0,0.1,364.0,364.0,22.2,66.7,993.0
2020-08-10 06:00:00+00:00,56.0,0.2,56.0,56.0,5.0,1.9,2.0,8.0,55.0,0.2,54.0,55.0,368.0,0.1,368.0,368.0,22.0,67.5,993.0
2020-08-10 06:15:00+00:00,60.0,0.6,59.0,61.0,0.0,0.0,0.0,0.0,60.0,0.6,59.0,61.0,367.0,0.1,367.0,368.0,22.2,67.2,993.0
2020-08-10 06:30:00+00:00,90.0,1.1,89.0,92.0,0.0,0.0,0.0,0.0,91.0,1.1,89.0,92.0,378.0,0.3,378.0,379.0,22.4,66.3,993.0
2020-08-10 06:45:00+00:00,127.0,0.3,127.0,127.0,4.0,0.2,4.0,4.0,126.0,0.2,125.0,126.0,383.0,0.1,383.0,383.0,22.7,65.6,993.0
2020-08-10 07:00:00+00:00,149.0,2.1,145.0,152.0,13.0,1.9,10.0,16.0,143.0,1.3,141.0,145.0,376.0,0.1,376.0,376.0,22.8,65.2,993.0
2020-08-10 07:15:00+00:00,503.0,0.5,502.0,503.0,726.0,2.6,721.0,729.0,200.0,0.3,199.0,200.0,382.0,0.1,382.0,382.0,23.8,61.7,993.0
2020-08-10 07:30:00+00:00,493.0,0.8,492.0,495.0,740.0,0.6,739.0,741.0,157.0,0.1,157.0,157.0,378.0,0.2,377.0,378.0,25.2,56.2,993.0
2020-08-10 07:45:00+00:00,565.0,0.4,564.0,566.0,759.0,0.7,756.0,760.0,191.0,0.3,191.0,192.0,378.0,0.1,378.0,379.0,25.7,52.3,993.0
2020-08-10 08:00:00+00:00,558.0,4.9,548.0,566.0,731.0,9.4,713.0,747.0,169.0,0.4,169.0,170.0,378.0,0.2,378.0,378.0,26.6,50.0,993.0
2020-08-10 08:15:00+00:00,548.0,2.3,540.0,552.0,675.0,3.5,664.0,681.0,164.0,0.1,164.0,164.0,380.0,0.3,380.0,380.0,27.3,47.3,993.0
