,ghi,ghi_std,ghi_min,ghi_max,dni,dni_std,dni_min,dni_max,dhi,dhi_std,dhi_min,dhi_max,lwd,lwd_std,lwd_min,lwd_max,temp_air,relative_humidity,pressure
2020-04-01 00:00:00+00:00,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.1,221.0,221.0,-1.6,60.8,1010.0
2020-04-01 00:15:00+00:00,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.1,221.0,222.0,-1.7,61.7,1010.0
2020-04-01 00:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.1,221.0,221.0,-1.7,61.8,1009.0
2020-04-01 00:45:00+00:00,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,221.0,0.1,221.0,221.0,-1.6,61.2,1009.0
2020-04-01 01:00:00+00:00,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.1,221.0,221.0,-1.9,62.0,1009.0
2020-04-01 01:15:00+00:00,-1.0,0.1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.1,220.0,221.0,-1.8,61.3,1009.0
2020-04-01 01:30:00+00:00,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.1,220.0,220.0,-2.1,62.8,1009.0
2020-04-01 01:45:00+00:00,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.1,220.0,220.0,-2.1,63.6,1009.0
2020-04-01 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,221.0,0.2,221.0,221.0,-1.9,62.3,1009.0
2020-04-01 02:15:00+00:00,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.1,221.0,221.0,-2.1,62.8,1008.0
2020-04-01 02:30:00+00:00,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.2,220.0,221.0,-2.1,61.9,1008.0
2020-04-01 02:45:00+00:00,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,220.0,0.1,220.0,221.0,-2.4,63.0,1008.0
2020-04-01 03:00:00+00:00,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.1,220.0,220.0,-2.6,63.8,1008.0
2020-04-01 03:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.1,220.0,220.0,-2.5,63.3,1008.0
2020-04-01 03:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.1,220.0,220.0,-2.4,63.4,1008.0
2020-04-01 03:45:00+00:00,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.1,220.0,221.0,-2.6,63.9,1008.0
2020-04-01 04:00:00+00:00,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.1,221.0,221.0,-2.6,63.3,1007.0
2020-04-01 04:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,1.0,1.0,220.0,0.1,220.0,220.0,-3.0,65.1,1007.0
2020-04-01 04:30:00+00:00,2.0,0.1,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.1,3.0,3.0,221.0,0.0,221.0,221.0,-3.4,66.9,1007.0
2020-04-01 04:45:00+00:00,9.0,0.2,8.0,9.0,0.0,0.0,0.0,0.0,9.0,0.2,9.0,9.0,221.0,0.0,220.0,221.0,-3.4,67.0,1007.0
2020-04-01 05:00:00+00:00,18.0,0.2,17.0,18.0,,,,,18.0,0.2,18.0,18.0,221.0,0.0,221.0,221.0,-3.3,66.1,1007.0
2020-04-01 05:15:00+00:00,58.0,0.6,57.0,59.0,350.0,2.3,346.0,354.0,27.0,0.2,27.0,28.0,221.0,0.0,221.0,221.0,-3.3,66.6,1007.0
2020-04-01 05:30:00+00:00,90.0,0.7,89.0,91.0,430.0,2.1,426.0,434.0,36.0,0.1,36.0,36.0,222.0,0.1,222.0,222.0,-2.9,64.9,1007.0
2020-04-01 05:45:00+00:00,128.0,0.7,127.0,129.0,519.0,0.9,517.0,520.0,43.0,0.1,42.0,43.0,222.0,0.1,222.0,222.0,-2.6,63.3,1007.0
2020-04-01 06:00:00+00:00,169.0,0.7,167.0,170.0,585.0,1.0,583.0,587.0,50.0,0.2,50.0,50.0,222.0,0.1,222.0,223.0,-2.3,63.6,1007.0
2020-04-01 06:15:00+00:00,209.0,0.6,208.0,210.0,629.0,0.4,629.0,630.0,57.0,0.1,57.0,57.0,223.0,0.0,223.0,223.0,-1.7,61.9,1007.0
2020-04-01 06:30:00+00:00,250.0,0.5,249.0,251.0,668.0,0.0,667.0,669.0,64.0,0.1,63.0,64.0,224.0,0.0,224.0,224.0,-1.2,60.7,1007.0
2020-04-01 06:45:00+00:00,291.0,0.9,289.0,293.0,704.0,1.1,702.0,706.0,68.0,0.1,67.0,68.0,225.0,0.1,225.0,225.0,-0.3,57.6,1007.0
2020-04-01 07:00:00+00:00,336.0,1.0,335.0,338.0,751.0,1.2,749.0,753.0,71.0,0.1,71.0,71.0,226.0,0.1,226.0,227.0,0.6,54.1,1007.0
2020-04-01 07:15:00+00:00,375.0,0.8,374.0,377.0,775.0,0.7,774.0,776.0,74.0,0.1,74.0,75.0,228.0,0.1,228.0,228.0,1.5,52.2,1007.0
2020-04-01 07:30:00+00:00,415.0,0.9,414.0,417.0,797.0,0.6,796.0,798.0,80.0,0.1,79.0,80.0,229.0,0.1,229.0,229.0,2.2,47.7,1007.0
2020-04-01 07:45:00+00:00,453.0,0.9,451.0,454.0,825.0,0.6,823.0,825.0,79.0,0.1,79.0,79.0,230.0,0.1,230.0,230.0,2.5,46.7,1007.0
2020-04-01 08:00:00+00:00,491.0,1.2,490.0,494.0,852.0,1.4,851.0,855.0,80.0,0.0,80.0,81.0,232.0,0.2,231.0,232.0,3.2,45.1,1006.0
2020-04-01 08:15:00+00:00,523.0,0.9,522.0,524.0,861.0,0.0,861.0,862.0,84.0,0.1,84.0,84.0,233.0,0.1,232.0,233.0,3.6,43.0,1006.0
2020-04-01 08:30:00+00:00,551.0,0.8,550.0,553.0,868.0,1.4,866.0,872.0,86.0,0.1,86.0,86.0,234.0,0.1,234.0,234.0,4.0,42.9,1006.0
2020-04-01 08:45:00+00:00,592.0,0.7,589.0,593.0,904.0,1.0,901.0,906.0,85.0,0.2,84.0,85.0,235.0,0.0,235.0,236.0,4.6,42.3,1006.0
2020-04-01 09:00:00+00:00,601.0,1.2,599.0,603.0,887.0,2.2,883.0,890.0,85.0,0.2,85.0,86.0,236.0,0.2,236.0,237.0,4.8,41.6,1006.0
2020-04-01 09:15:00+00:00,634.0,0.9,633.0,637.0,909.0,1.0,907.0,912.0,87.0,0.1,86.0,87.0,237.0,0.2,237.0,238.0,5.0,42.8,1006.0
2020-04-01 09:30:00+00:00,660.0,1.0,659.0,662.0,924.0,1.8,922.0,928.0,87.0,0.1,87.0,87.0,238.0,0.2,238.0,238.0,5.3,41.9,1005.0
2020-04-01 09:45:00+00:00,678.0,1.0,676.0,679.0,929.0,2.7,926.0,933.0,88.0,0.3,87.0,89.0,239.0,0.3,238.0,239.0,5.4,40.9,1005.0
2020-04-01 10:00:00+00:00,691.0,1.2,689.0,693.0,928.0,1.5,926.0,930.0,90.0,0.0,90.0,90.0,239.0,0.2,239.0,239.0,5.4,41.4,1005.0
2020-04-01 10:15:00+00:00,701.0,2.5,697.0,706.0,928.0,3.5,923.0,936.0,89.0,0.0,89.0,89.0,239.0,0.2,239.0,240.0,5.7,40.6,1005.0
2020-04-01 10:30:00+00:00,713.0,1.1,711.0,715.0,933.0,1.5,931.0,936.0,91.0,0.1,91.0,91.0,240.0,0.1,240.0,240.0,6.0,39.7,1005.0
2020-04-01 10:45:00+00:00,722.0,0.7,721.0,723.0,939.0,0.9,938.0,941.0,91.0,0.2,91.0,91.0,242.0,0.1,241.0,242.0,6.5,39.4,1004.0
2020-04-01 11:00:00+00:00,726.0,0.6,725.0,727.0,945.0,0.4,944.0,946.0,90.0,0.0,90.0,90.0,241.0,0.4,240.0,242.0,6.3,37.9,1004.0
2020-04-01 11:15:00+00:00,728.0,0.7,726.0,729.0,945.0,1.1,943.0,947.0,90.0,0.0,90.0,90.0,241.0,0.3,241.0,242.0,6.6,37.3,1004.0
2020-04-01 11:30:00+00:00,721.0,0.6,720.0,722.0,939.0,0.7,937.0,940.0,90.0,0.1,90.0,90.0,243.0,0.2,243.0,243.0,7.0,35.1,1004.0
2020-04-01 11:45:00+00:00,713.0,0.0,713.0,714.0,935.0,0.8,934.0,936.0,89.0,0.0,89.0,89.0,244.0,0.2,244.0,244.0,7.7,35.2,1003.0
2020-04-01 12:00:00+00:00,704.0,0.0,703.0,704.0,931.0,0.4,930.0,932.0,89.0,0.1,89.0,89.0,245.0,0.6,244.0,246.0,7.6,34.2,1003.0
2020-04-01 12:15:00+00:00,690.0,1.3,687.0,692.0,924.0,1.7,919.0,926.0,89.0,0.1,89.0,90.0,245.0,0.4,245.0,246.0,7.5,34.2,1003.0
2020-04-01 12:30:00+00:00,677.0,0.3,676.0,678.0,921.0,0.6,919.0,922.0,90.0,0.0,90.0,90.0,247.0,0.3,246.0,247.0,8.1,34.7,1003.0
2020-04-01 12:45:00+00:00,657.0,0.6,656.0,658.0,909.0,1.0,908.0,911.0,91.0,0.0,91.0,91.0,248.0,0.2,247.0,248.0,8.7,34.3,1003.0
2020-04-01 13:00:00+00:00,635.0,0.8,634.0,636.0,902.0,0.9,901.0,903.0,89.0,0.0,89.0,90.0,247.0,0.2,247.0,248.0,8.8,33.3,1002.0
2020-04-01 13:15:00+00:00,611.0,0.7,610.0,612.0,892.0,0.8,891.0,893.0,90.0,0.0,90.0,90.0,248.0,0.2,248.0,249.0,8.3,33.8,1002.0
