,ghi,ghi_std,ghi_min,ghi_max,dni,dni_std,dni_min,dni_max,dhi,dhi_std,dhi_min,dhi_max,lwd,lwd_std,lwd_min,lwd_max,temp_air,relative_humidity,pressure
2020-07-09 00:00:00+00:00,-2,0.1,-2,-1,-1,0.1,-1,-1,-2,0.1,-2,-1,351,0.1,351,351,20.5,73.9,963.0
2020-07-09 00:15:00+00:00,-2,0.1,-2,-2,0,0.1,0,0,-2,0.1,-2,-1,350,0.2,350,351,20.4,73.8,963.0
2020-07-09 00:30:00+00:00,-2,0.1,-2,-2,0,0.1,-1,0,-1,0.1,-2,-1,351,0.1,351,351,20.2,74.6,963.0
2020-07-09 00:45:00+00:00,-2,0.1,-2,-1,-1,0.1,-1,-1,-1,0.1,-2,-1,353,0.2,353,354,19.7,77.4,963.0
2020-07-09 01:00:00+00:00,-1,0.1,-2,-1,0,0.1,0,0,-1,0.1,-2,-1,355,0.2,354,355,19.8,76.3,963.0
2020-07-09 01:15:00+00:00,-2,0.1,-2,-1,0,0.1,-1,0,-1,0.1,-2,-1,351,0.2,350,352,19.4,77.6,963.0
2020-07-09 01:30:00+00:00,-2,0.1,-2,-1,-1,0.1,-1,-1,-1,0.1,-2,-1,348,0.1,347,348,19.1,80.1,963.0
2020-07-09 01:45:00+00:00,-2,0.1,-2,-1,0,0.1,0,0,-2,0.1,-2,-1,347,0.2,346,347,19.0,80.9,963.0
2020-07-09 02:00:00+00:00,-2,0.1,-2,-1,-1,0.1,-1,0,-1,0.1,-2,-1,347,0.1,346,347,18.7,80.9,963.0
2020-07-09 02:15:00+00:00,-2,0.1,-2,-1,-1,0.0,-1,-1,-1,0.1,-2,-1,346,0.1,346,346,18.5,81.7,963.0
2020-07-09 02:30:00+00:00,-2,0.1,-2,-1,-1,0.0,-1,0,-1,0.1,-2,-1,345,0.1,345,345,18.1,84.3,963.0
2020-07-09 02:45:00+00:00,-2,0.1,-2,-1,0,0.1,0,0,-1,0.1,-2,-1,348,0.1,347,348,18.4,83.0,963.0
2020-07-09 03:00:00+00:00,-1,0.1,-2,-1,-1,0.1,-1,0,-1,0.1,-1,-1,347,0.2,347,347,17.9,85.8,963.0
2020-07-09 03:15:00+00:00,-2,0.1,-2,-1,-1,0.1,-1,-1,-1,0.1,-2,-1,345,0.2,345,346,17.8,86.2,963.0
2020-07-09 03:30:00+00:00,-2,0.1,-2,-1,0,0.1,0,0,-1,0.1,-2,-1,343,0.2,343,343,17.8,86.7,963.0
2020-07-09 03:45:00+00:00,-2,0.1,-2,-1,0,0.1,0,0,-1,0.1,-2,-1,345,0.2,345,345,17.8,86.9,963.0
2020-07-09 04:00:00+00:00,-1,0.1,-2,-1,-1,0.0,-1,0,-1,0.1,-1,-1,351,0.2,351,352,17.2,88.1,963.0
2020-07-09 04:15:00+00:00,-1,0.1,-1,-1,0,0.0,0,0,-1,0.1,-1,-1,347,0.2,346,347,17.4,87.6,963.0
2020-07-09 04:30:00+00:00,1,0.1,1,1,0,0.1,0,0,1,0.1,1,1,367,0.3,366,367,17.0,88.4,964.0
2020-07-09 04:45:00+00:00,5,0.2,5,6,0,0.1,-1,0,5,0.2,5,6,376,0.2,375,376,16.8,88.3,963.0
2020-07-09 05:00:00+00:00,11,0.2,11,11,3,0.2,3,3,11,0.1,10,11,376,0.2,376,377,16.9,88.1,964.0
2020-07-09 05:15:00+00:00,17,0.2,16,17,1,0.1,1,1,16,0.1,16,17,377,0.3,376,377,17.6,83.7,963.0
2020-07-09 05:30:00+00:00,34,0.5,33,35,0,0.0,0,0,33,0.5,32,34,371,0.1,371,371,17.6,84.4,964.0
2020-07-09 05:45:00+00:00,62,1.2,60,64,9,1.6,7,13,59,0.9,58,61,362,0.2,361,362,17.9,83.3,963.0
2020-07-09 06:00:00+00:00,105,0.9,103,107,14,7.7,7,31,100,1.0,99,102,371,0.2,371,372,18.3,80.3,963.0
2020-07-09 06:15:00+00:00,203,0.9,202,205,150,0.5,149,151,160,0.7,158,161,373,0.2,372,373,18.5,79.8,963.0
2020-07-09 06:30:00+00:00,180,9.4,168,194,56,27.3,23,97,161,0.3,160,162,362,0.3,362,363,19.1,76.9,963.0
2020-07-09 06:45:00+00:00,175,2.0,174,181,20,5.4,16,34,167,0.2,167,168,357,0.1,357,358,19.5,75.8,964.0
2020-07-09 07:00:00+00:00,363,2.0,360,366,366,1.6,364,369,210,1.0,208,212,360,0.3,359,360,20.0,73.5,964.0
2020-07-09 07:15:00+00:00,246,3.7,243,253,22,9.4,14,40,235,0.6,234,236,367,0.2,367,368,20.0,72.1,963.0
2020-07-09 07:30:00+00:00,267,17.5,242,292,90,33.6,41,137,221,0.3,220,222,359,0.2,359,360,20.8,69.1,963.0
2020-07-09 07:45:00+00:00,509,0.9,507,510,483,0.5,482,484,246,0.4,245,246,360,0.2,359,360,21.0,69.4,964.0
2020-07-09 08:00:00+00:00,575,0.8,574,577,525,0.7,522,526,270,0.1,270,270,373,0.5,372,374,23.2,60.1,964.0
2020-07-09 08:15:00+00:00,316,98.2,239,566,125,144.8,17,502,233,5.1,227,244,389,0.3,388,390,22.1,63.9,964.0
2020-07-09 08:30:00+00:00,180,5.2,172,188,19,5.6,10,27,169,1.4,167,172,399,0.2,398,399,22.6,61.5,964.0
2020-07-09 08:45:00+00:00,203,10.3,190,229,21,8.7,12,46,187,4.0,181,194,401,0.9,400,403,22.4,67.3,964.0
2020-07-09 09:00:00+00:00,427,7.3,412,438,102,4.0,93,106,354,4.8,347,363,398,0.2,397,398,22.5,66.0,964.0
2020-07-09 09:15:00+00:00,316,5.5,307,326,1,1.4,-1,5,315,4.5,307,322,397,0.2,396,397,22.9,63.0,964.0
2020-07-09 09:30:00+00:00,277,0.9,276,279,2,0.1,2,3,277,0.9,275,279,398,0.2,397,398,22.7,66.2,964.0
2020-07-09 09:45:00+00:00,351,1.0,349,353,4,0.5,3,5,351,1.3,349,353,395,0.4,394,396,22.8,67.1,964.0
2020-07-09 10:00:00+00:00,409,3.5,403,415,8,0.3,7,8,409,3.1,404,415,389,0.3,389,390,24.0,66.1,964.0
2020-07-09 10:15:00+00:00,517,30.8,495,599,49,39.1,17,147,483,3.4,478,487,388,0.5,387,388,24.7,61.1,964.0
2020-07-09 10:30:00+00:00,466,21.3,446,520,32,22.8,10,89,443,0.5,442,444,393,0.4,392,394,25.6,58.4,964.0
2020-07-09 10:45:00+00:00,424,13.2,406,446,24,13.5,6,45,403,0.9,402,405,400,0.3,399,400,25.4,59.4,964.0
2020-07-09 11:00:00+00:00,461,4.9,454,470,2,0.6,1,3,464,4.7,457,473,399,0.4,398,400,24.5,60.3,964.0
2020-07-09 11:15:00+00:00,470,9.0,447,483,31,8.9,9,44,445,1.3,444,448,396,0.3,395,397,25.5,57.8,964.0
2020-07-09 11:30:00+00:00,1042,4.5,1031,1048,729,7.9,709,737,362,4.8,354,371,386,0.6,385,387,26.0,57.0,964.0
2020-07-09 11:45:00+00:00,947,0.5,946,948,757,0.7,755,758,234,1.5,231,237,380,1.2,378,381,26.4,57.0,964.0
2020-07-09 12:00:00+00:00,943,5.1,937,954,761,1.2,759,763,225,3.9,219,233,378,0.7,377,380,27.0,54.5,963.0
2020-07-09 12:15:00+00:00,925,1.4,923,927,761,0.3,760,761,208,1.4,205,210,382,0.3,381,382,27.9,51.1,963.0
2020-07-09 12:30:00+00:00,903,0.9,901,904,755,1.1,754,757,190,0.1,190,190,384,0.2,383,385,28.3,50.3,963.0
