,ghi,ghi_std,ghi_min,ghi_max,dni,dni_std,dni_min,dni_max,dhi,dhi_std,dhi_min,dhi_max,lwd,lwd_std,lwd_min,lwd_max,temp_air,relative_humidity,pressure
2020-02-05 00:00:00+00:00,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,313.0,0.5,312.0,314.0,2.5,85.9,968.0
2020-02-05 00:15:00+00:00,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,316.0,0.2,315.0,316.0,2.5,87.1,969.0
2020-02-05 00:30:00+00:00,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-1.0,1.0,316.0,0.1,315.0,316.0,2.6,87.6,969.0
2020-02-05 00:45:00+00:00,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,317.0,0.1,317.0,317.0,2.7,87.1,969.0
2020-02-05 01:00:00+00:00,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,316.0,0.2,316.0,316.0,2.9,85.9,969.0
2020-02-05 01:15:00+00:00,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-1.0,1.0,315.0,0.2,314.0,315.0,3.0,85.4,969.0
2020-02-05 01:30:00+00:00,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,313.0,0.1,312.0,313.0,3.1,84.2,969.0
2020-02-05 01:45:00+00:00,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.0,1.0,309.0,0.1,309.0,310.0,3.1,83.9,969.0
2020-02-05 02:00:00+00:00,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,316.0,0.2,316.0,316.0,3.1,84.8,970.0
2020-02-05 02:15:00+00:00,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-1.0,1.0,317.0,0.2,316.0,317.0,3.1,85.4,970.0
2020-02-05 02:30:00+00:00,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,262.0,1.0,261.0,265.0,2.9,86.1,970.0
2020-02-05 02:45:00+00:00,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,305.0,0.4,304.0,306.0,2.9,87.1,970.0
2020-02-05 03:00:00+00:00,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,315.0,0.2,314.0,315.0,3.0,85.9,970.0
2020-02-05 03:15:00+00:00,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,316.0,0.2,316.0,317.0,3.0,85.6,970.0
2020-02-05 03:30:00+00:00,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,312.0,1.0,310.0,313.0,3.2,84.9,970.0
2020-02-05 03:45:00+00:00,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,314.0,0.2,314.0,315.0,3.2,85.2,971.0
2020-02-05 04:00:00+00:00,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,313.0,0.3,312.0,314.0,3.2,85.4,971.0
2020-02-05 04:15:00+00:00,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,-1.0,1.0,317.0,0.1,317.0,318.0,3.1,86.1,971.0
2020-02-05 04:30:00+00:00,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-1.0,1.0,310.0,0.4,310.0,311.0,3.2,86.4,971.0
2020-02-05 04:45:00+00:00,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,324.0,0.6,323.0,325.0,3.2,86.4,971.0
2020-02-05 05:00:00+00:00,-1.0,0.1,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.3,-1.0,0.0,315.0,0.3,315.0,316.0,3.2,87.0,972.0
2020-02-05 05:15:00+00:00,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,1.0,318.0,0.4,318.0,319.0,3.0,88.9,972.0
2020-02-05 05:30:00+00:00,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,255.0,1.6,252.0,258.0,2.7,90.1,972.0
2020-02-05 05:45:00+00:00,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,255.0,1.3,253.0,257.0,2.4,90.8,972.0
2020-02-05 06:00:00+00:00,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,297.0,0.4,296.0,298.0,2.1,91.4,972.0
2020-02-05 06:15:00+00:00,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,295.0,0.1,295.0,295.0,2.0,93.1,972.0
2020-02-05 06:30:00+00:00,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,2.0,308.0,0.3,307.0,308.0,1.9,93.6,973.0
2020-02-05 06:45:00+00:00,1.0,0.1,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.3,1.0,3.0,252.0,0.8,251.0,253.0,1.8,94.2,973.0
2020-02-05 07:00:00+00:00,7.0,0.1,6.0,7.0,0.0,0.0,0.0,0.0,7.0,0.3,6.0,8.0,240.0,0.1,240.0,241.0,1.6,94.8,973.0
2020-02-05 07:15:00+00:00,15.0,0.2,15.0,16.0,0.0,0.0,0.0,0.0,15.0,0.3,15.0,16.0,240.0,0.1,240.0,241.0,1.3,94.9,973.0
2020-02-05 07:30:00+00:00,40.0,0.6,39.0,41.0,0.0,0.0,0.0,0.0,40.0,0.6,39.0,41.0,270.0,0.6,269.0,271.0,1.1,95.4,973.0
2020-02-05 07:45:00+00:00,48.0,0.1,48.0,49.0,0.0,0.0,0.0,0.0,49.0,0.3,48.0,49.0,287.0,0.2,286.0,287.0,1.4,96.4,973.0
2020-02-05 08:00:00+00:00,52.0,0.2,52.0,53.0,0.0,0.0,0.0,0.0,53.0,0.3,52.0,53.0,259.0,0.9,258.0,261.0,1.8,96.9,974.0
2020-02-05 08:15:00+00:00,197.0,8.9,182.0,213.0,517.0,51.6,424.0,622.0,93.0,2.3,89.0,97.0,256.0,0.6,255.0,257.0,2.2,96.6,974.0
2020-02-05 08:30:00+00:00,267.0,9.2,235.0,278.0,688.0,43.8,531.0,734.0,107.0,0.4,106.0,107.0,256.0,0.2,256.0,257.0,3.2,95.4,974.0
2020-02-05 08:45:00+00:00,260.0,0.2,260.0,261.0,773.0,1.5,770.0,775.0,58.0,0.8,57.0,60.0,244.0,0.3,243.0,244.0,4.4,92.1,974.0
2020-02-05 09:00:00+00:00,121.0,44.0,75.0,188.0,173.0,148.0,16.0,404.0,72.0,1.3,69.0,74.0,244.0,0.1,243.0,244.0,4.6,84.6,974.0
2020-02-05 09:15:00+00:00,332.0,0.4,332.0,333.0,826.0,0.6,825.0,827.0,70.0,0.8,69.0,72.0,247.0,0.1,247.0,248.0,5.5,81.9,975.0
2020-02-05 09:30:00+00:00,357.0,1.0,355.0,359.0,847.0,1.2,842.0,848.0,68.0,0.3,67.0,69.0,244.0,0.1,244.0,244.0,6.5,73.8,975.0
2020-02-05 09:45:00+00:00,335.0,60.6,197.0,412.0,643.0,172.2,234.0,854.0,102.0,0.4,101.0,103.0,254.0,0.3,254.0,255.0,7.1,64.3,975.0
2020-02-05 10:00:00+00:00,348.0,133.9,178.0,495.0,490.0,349.2,36.0,861.0,164.0,2.1,161.0,167.0,263.0,0.1,263.0,263.0,6.6,59.8,975.0
2020-02-05 10:15:00+00:00,573.0,1.2,572.0,576.0,870.0,2.1,868.0,875.0,231.0,1.2,229.0,233.0,294.0,0.5,293.0,295.0,7.3,57.4,975.0
2020-02-05 10:30:00+00:00,168.0,1.8,166.0,172.0,3.0,0.4,2.0,4.0,169.0,1.8,167.0,173.0,297.0,0.3,296.0,298.0,7.0,56.5,976.0
2020-02-05 10:45:00+00:00,123.0,3.1,119.0,129.0,0.0,0.2,0.0,1.0,123.0,3.4,119.0,130.0,262.0,0.2,262.0,263.0,6.1,58.6,976.0
2020-02-05 11:00:00+00:00,495.0,10.8,462.0,503.0,908.0,6.4,886.0,915.0,107.0,1.8,104.0,109.0,252.0,0.1,252.0,253.0,5.7,60.6,976.0
2020-02-05 11:15:00+00:00,485.0,0.9,482.0,486.0,910.0,1.4,904.0,911.0,85.0,0.3,84.0,86.0,246.0,0.2,245.0,246.0,7.3,55.8,976.0
2020-02-05 11:30:00+00:00,481.0,0.2,481.0,481.0,913.0,0.6,911.0,914.0,73.0,0.3,73.0,74.0,246.0,0.1,245.0,246.0,8.0,52.4,976.0
2020-02-05 11:45:00+00:00,487.0,0.2,486.0,488.0,925.0,0.7,924.0,926.0,71.0,0.3,70.0,72.0,245.0,0.3,245.0,246.0,8.1,51.2,976.0
2020-02-05 12:00:00+00:00,484.0,0.4,483.0,485.0,913.0,0.3,912.0,914.0,73.0,0.3,72.0,74.0,246.0,0.2,245.0,246.0,8.4,48.8,976.0
2020-02-05 12:15:00+00:00,483.0,0.3,482.0,483.0,913.0,0.7,911.0,914.0,74.0,0.4,73.0,75.0,247.0,0.1,247.0,247.0,8.7,50.7,976.0
2020-02-05 12:30:00+00:00,479.0,0.7,477.0,480.0,908.0,0.9,906.0,909.0,78.0,0.3,77.0,79.0,245.0,0.1,245.0,245.0,8.3,50.3,976.0
2020-02-05 12:45:00+00:00,463.0,1.1,461.0,465.0,919.0,1.5,917.0,923.0,66.0,0.7,64.0,67.0,245.0,0.2,244.0,245.0,7.9,49.9,976.0
