,ghi,ghi_std,ghi_min,ghi_max,dni,dni_std,dni_min,dni_max,dhi,dhi_std,dhi_min,dhi_max,lwd,lwd_std,lwd_min,lwd_max,temp_air,relative_humidity,pressure
2020-04-13 00:00:00+00:00,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,-1.0,0.1,-1.0,0.0,321.0,0.3,320.0,321.0,11.0,87.0,1016.0
2020-04-13 00:15:00+00:00,-1.0,0.1,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,314.0,0.0,314.0,315.0,10.6,87.0,1016.0
2020-04-13 00:30:00+00:00,-1.0,0.1,-1.0,-1.0,1.0,0.0,0.0,1.0,-1.0,0.1,-1.0,0.0,332.0,0.2,332.0,332.0,10.4,88.0,1016.0
2020-04-13 00:45:00+00:00,-1.0,0.1,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.1,-1.0,-1.0,327.0,0.3,326.0,327.0,10.3,87.0,1016.0
2020-04-13 01:00:00+00:00,-1.0,0.1,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.1,-1.0,-1.0,303.0,0.7,301.0,304.0,9.8,85.0,1016.0
2020-04-13 01:15:00+00:00,-1.0,0.1,-2.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.1,-1.0,-1.0,287.0,0.1,286.0,287.0,9.6,85.0,1016.0
2020-04-13 01:30:00+00:00,-1.0,0.1,-2.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,285.0,0.0,285.0,285.0,9.4,76.0,1016.0
2020-04-13 01:45:00+00:00,-2.0,0.1,-2.0,-1.0,0.0,0.1,0.0,0.0,-1.0,0.1,-1.0,-1.0,284.0,0.1,284.0,284.0,9.1,76.0,1017.0
2020-04-13 02:00:00+00:00,-1.0,0.1,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.1,-1.0,-1.0,297.0,1.0,295.0,299.0,9.0,76.0,1017.0
2020-04-13 02:15:00+00:00,-1.0,0.1,-1.0,-1.0,1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,312.0,0.3,311.0,312.0,8.9,73.2,1017.0
2020-04-13 02:30:00+00:00,-1.0,0.1,-1.0,-1.0,0.0,0.1,0.0,0.0,-1.0,0.0,-1.0,-1.0,297.0,0.4,296.0,297.0,8.6,78.0,1017.0
2020-04-13 02:45:00+00:00,-1.0,0.1,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.1,-1.0,-1.0,287.0,0.1,287.0,288.0,8.5,77.6,1017.0
2020-04-13 03:00:00+00:00,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,-1.0,0.1,-1.0,-1.0,299.0,0.5,298.0,299.0,8.5,78.0,1018.0
2020-04-13 03:15:00+00:00,-1.0,0.1,-1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,344.0,0.3,343.0,344.0,8.7,78.0,1018.0
2020-04-13 03:30:00+00:00,-1.0,0.1,-1.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,342.0,0.2,342.0,342.0,8.8,78.6,1018.0
2020-04-13 03:45:00+00:00,-1.0,0.1,-1.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,341.0,0.6,340.0,342.0,8.5,77.2,1018.0
2020-04-13 04:00:00+00:00,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.1,-1.0,0.0,342.0,0.1,341.0,342.0,8.4,76.0,1019.0
2020-04-13 04:15:00+00:00,-1.0,0.1,-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,336.0,0.1,336.0,336.0,8.3,73.0,1019.0
2020-04-13 04:30:00+00:00,-1.0,0.1,-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,331.0,0.1,331.0,331.0,8.2,70.0,1019.0
2020-04-13 04:45:00+00:00,0.0,0.1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,1.0,1.0,337.0,0.1,337.0,338.0,8.2,71.0,1020.0
2020-04-13 05:00:00+00:00,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,338.0,0.1,338.0,338.0,8.2,72.0,1020.0
2020-04-13 05:15:00+00:00,5.0,0.2,5.0,6.0,1.0,0.1,0.0,1.0,6.0,0.2,5.0,6.0,335.0,0.1,335.0,335.0,8.1,70.2,1020.0
2020-04-13 05:30:00+00:00,17.0,0.5,16.0,18.0,0.0,0.0,0.0,0.0,17.0,0.5,16.0,18.0,332.0,0.2,331.0,332.0,7.8,71.0,1020.0
2020-04-13 05:45:00+00:00,17.0,0.1,17.0,17.0,1.0,0.0,1.0,1.0,18.0,0.1,17.0,18.0,333.0,0.0,333.0,333.0,7.7,70.0,1021.0
2020-04-13 06:00:00+00:00,22.0,0.5,21.0,22.0,1.0,0.0,0.0,1.0,22.0,0.5,21.0,23.0,331.0,0.1,330.0,331.0,7.6,66.0,1021.0
2020-04-13 06:15:00+00:00,19.0,0.1,19.0,19.0,1.0,0.0,0.0,1.0,20.0,0.1,20.0,20.0,329.0,0.1,329.0,330.0,7.5,64.0,1022.0
2020-04-13 06:30:00+00:00,25.0,0.3,25.0,26.0,0.0,0.0,0.0,0.0,26.0,0.3,25.0,26.0,329.0,0.1,329.0,329.0,7.2,67.0,1022.0
2020-04-13 06:45:00+00:00,85.0,1.2,83.0,87.0,1.0,0.0,1.0,1.0,85.0,1.2,83.0,87.0,323.0,0.3,322.0,323.0,7.1,63.2,1022.0
2020-04-13 07:00:00+00:00,230.0,1.9,227.0,232.0,136.0,2.0,133.0,139.0,184.0,1.4,182.0,186.0,305.0,2.0,301.0,307.0,7.4,61.8,1022.0
2020-04-13 07:15:00+00:00,163.0,3.6,159.0,169.0,11.0,6.2,6.0,22.0,158.0,1.4,157.0,161.0,284.0,2.1,281.0,288.0,7.3,60.8,1022.0
2020-04-13 07:30:00+00:00,308.0,7.2,295.0,319.0,106.0,21.0,65.0,150.0,263.0,5.0,253.0,270.0,301.0,1.0,299.0,302.0,7.4,58.2,1023.0
2020-04-13 07:45:00+00:00,277.0,21.3,258.0,332.0,46.0,47.0,10.0,163.0,254.0,3.2,249.0,260.0,304.0,0.3,304.0,305.0,7.6,59.4,1023.0
2020-04-13 08:00:00+00:00,173.0,0.4,172.0,174.0,1.0,0.1,1.0,1.0,173.0,0.4,172.0,173.0,327.0,0.1,326.0,327.0,7.6,61.0,1023.0
