PeriodStart,Dhi,Dni,Ghi
2020-09-24T00:00:00Z,0,0,0
2020-09-24T00:15:00Z,0,0,0
2020-09-24T00:30:00Z,0,0,0
2020-09-24T00:45:00Z,0,0,0
2020-09-24T01:00:00Z,0,0,0
2020-09-24T01:15:00Z,0,0,0
2020-09-24T01:30:00Z,0,0,0
2020-09-24T01:45:00Z,0,0,0
2020-09-24T02:00:00Z,0,0,0
2020-09-24T02:15:00Z,0,0,0
2020-09-24T02:30:00Z,0,0,0
2020-09-24T02:45:00Z,0,0,0
2020-09-24T03:00:00Z,0,0,0
2020-09-24T03:15:00Z,0,0,0
2020-09-24T03:30:00Z,0,0,0
2020-09-24T03:45:00Z,0,0,0
2020-09-24T04:00:00Z,0,0,0
2020-09-24T04:15:00Z,0,0,0
2020-09-24T04:30:00Z,0,0,0
2020-09-24T04:45:00Z,0,0,0
2020-09-24T05:00:00Z,0,0,0
2020-09-24T05:15:00Z,0,0,0
2020-09-24T05:30:00Z,0,0,0
2020-09-24T05:45:00Z,6,0,6
2020-09-24T06:00:00Z,22,0,22
2020-09-24T06:15:00Z,44,0,44
2020-09-24T06:30:00Z,74,4,74
2020-09-24T06:45:00Z,82,1,83
2020-09-24T07:00:00Z,95,0,95
2020-09-24T07:15:00Z,97,370,199
2020-09-24T07:30:00Z,116,368,231
2020-09-24T07:45:00Z,159,237,242
2020-09-24T08:00:00Z,197,141,251
2020-09-24T08:15:00Z,185,284,306
2020-09-24T08:30:00Z,133,565,389
2020-09-24T08:45:00Z,189,411,386
2020-09-24T09:00:00Z,278,121,339
2020-09-24T09:15:00Z,266,213,381
2020-09-24T09:30:00Z,234,285,392
2020-09-24T09:45:00Z,151,0,151
2020-09-24T10:00:00Z,234,0,234
2020-09-24T10:15:00Z,339,103,402
2020-09-24T10:30:00Z,259,0,259
2020-09-24T10:45:00Z,169,0,169
2020-09-24T11:00:00Z,153,0,153
2020-09-24T11:15:00Z,106,0,106
2020-09-24T11:30:00Z,48,0,48
2020-09-24T11:45:00Z,58,0,58
2020-09-24T12:00:00Z,76,0,76
2020-09-24T12:15:00Z,147,0,147
2020-09-24T12:30:00Z,166,0,166
2020-09-24T12:45:00Z,250,0,250
2020-09-24T13:00:00Z,205,0,205
2020-09-24T13:15:00Z,203,0,203
2020-09-24T13:30:00Z,140,0,140
2020-09-24T13:45:00Z,158,0,158
2020-09-24T14:00:00Z,227,0,227
2020-09-24T14:15:00Z,189,0,189
2020-09-24T14:30:00Z,121,0,121
2020-09-24T14:45:00Z,181,14,187
2020-09-24T15:00:00Z,173,297,296
2020-09-24T15:15:00Z,205,15,211
2020-09-24T15:30:00Z,172,100,206
2020-09-24T15:45:00Z,141,55,158
2020-09-24T16:00:00Z,102,0,102
2020-09-24T16:15:00Z,98,166,134
2020-09-24T16:30:00Z,73,201,110
2020-09-24T16:45:00Z,64,34,69
2020-09-24T17:00:00Z,37,9,38
2020-09-24T17:15:00Z,12,0,12
2020-09-24T17:30:00Z,2,0,2
2020-09-24T17:45:00Z,0,0,0
2020-09-24T18:00:00Z,0,0,0
2020-09-24T18:15:00Z,0,0,0
2020-09-24T18:30:00Z,0,0,0
2020-09-24T18:45:00Z,0,0,0
2020-09-24T19:00:00Z,0,0,0
2020-09-24T19:15:00Z,0,0,0
2020-09-24T19:30:00Z,0,0,0
2020-09-24T19:45:00Z,0,0,0
2020-09-24T20:00:00Z,0,0,0
2020-09-24T20:15:00Z,0,0,0
2020-09-24T20:30:00Z,0,0,0
2020-09-24T20:45:00Z,0,0,0
2020-09-24T21:00:00Z,0,0,0
2020-09-24T21:15:00Z,0,0,0
2020-09-24T21:30:00Z,0,0,0
2020-09-24T21:45:00Z,0,0,0
2020-09-24T22:00:00Z,0,0,0
2020-09-24T22:15:00Z,0,0,0
2020-09-24T22:30:00Z,0,0,0
2020-09-24T22:45:00Z,0,0,0
2020-09-24T23:00:00Z,0,0,0
2020-09-24T23:15:00Z,0,0,0
2020-09-24T23:30:00Z,0,0,0
2020-09-24T23:45:00Z,0,0,0
