PeriodStart,Dhi,Dni,Ghi
2020-08-10T00:00:00Z,0,0,0
2020-08-10T00:15:00Z,0,0,0
2020-08-10T00:30:00Z,0,0,0
2020-08-10T00:45:00Z,0,0,0
2020-08-10T01:00:00Z,0,0,0
2020-08-10T01:15:00Z,0,0,0
2020-08-10T01:30:00Z,0,0,0
2020-08-10T01:45:00Z,0,0,0
2020-08-10T02:00:00Z,0,0,0
2020-08-10T02:15:00Z,0,0,0
2020-08-10T02:30:00Z,0,0,0
2020-08-10T02:45:00Z,0,0,0
2020-08-10T03:00:00Z,0,0,0
2020-08-10T03:15:00Z,0,0,0
2020-08-10T03:30:00Z,0,0,0
2020-08-10T03:45:00Z,2,0,2
2020-08-10T04:00:00Z,10,0,10
2020-08-10T04:15:00Z,21,0,21
2020-08-10T04:30:00Z,20,0,20
2020-08-10T04:45:00Z,28,0,28
2020-08-10T05:00:00Z,48,0,48
2020-08-10T05:15:00Z,64,0,64
2020-08-10T05:30:00Z,53,0,53
2020-08-10T05:45:00Z,11,0,11
2020-08-10T06:00:00Z,28,0,28
2020-08-10T06:15:00Z,30,0,30
2020-08-10T06:30:00Z,28,0,28
2020-08-10T06:45:00Z,36,0,36
2020-08-10T07:00:00Z,42,0,42
2020-08-10T07:15:00Z,46,0,46
2020-08-10T07:30:00Z,58,0,58
2020-08-10T07:45:00Z,69,0,69
2020-08-10T08:00:00Z,71,0,71
2020-08-10T08:15:00Z,86,0,86
2020-08-10T08:30:00Z,108,0,108
2020-08-10T08:45:00Z,115,0,115
2020-08-10T09:00:00Z,59,0,59
2020-08-10T09:15:00Z,76,0,76
2020-08-10T09:30:00Z,115,0,115
2020-08-10T09:45:00Z,126,0,126
2020-08-10T10:00:00Z,150,0,150
2020-08-10T10:15:00Z,149,0,149
2020-08-10T10:30:00Z,167,0,167
2020-08-10T10:45:00Z,278,0,278
2020-08-10T11:00:00Z,368,0,368
2020-08-10T11:15:00Z,370,0,370
2020-08-10T11:30:00Z,269,0,269
2020-08-10T11:45:00Z,213,0,213
2020-08-10T12:00:00Z,253,0,253
2020-08-10T12:15:00Z,352,0,352
2020-08-10T12:30:00Z,367,0,367
2020-08-10T12:45:00Z,291,0,291
2020-08-10T13:00:00Z,176,0,176
2020-08-10T13:15:00Z,141,0,141
2020-08-10T13:30:00Z,127,0,127
2020-08-10T13:45:00Z,140,0,140
2020-08-10T14:00:00Z,76,0,76
2020-08-10T14:15:00Z,101,0,101
2020-08-10T14:30:00Z,151,0,151
2020-08-10T14:45:00Z,158,0,158
2020-08-10T15:00:00Z,130,0,130
2020-08-10T15:15:00Z,119,0,119
2020-08-10T15:30:00Z,132,0,132
2020-08-10T15:45:00Z,150,0,150
2020-08-10T16:00:00Z,153,0,153
2020-08-10T16:15:00Z,115,0,115
2020-08-10T16:30:00Z,101,0,101
2020-08-10T16:45:00Z,93,0,93
2020-08-10T17:00:00Z,95,22,99
2020-08-10T17:15:00Z,61,220,100
2020-08-10T17:30:00Z,47,193,74
2020-08-10T17:45:00Z,37,65,44
2020-08-10T18:00:00Z,18,0,18
2020-08-10T18:15:00Z,4,0,4
2020-08-10T18:30:00Z,0,0,0
2020-08-10T18:45:00Z,0,0,0
2020-08-10T19:00:00Z,0,0,0
2020-08-10T19:15:00Z,0,0,0
2020-08-10T19:30:00Z,0,0,0
2020-08-10T19:45:00Z,0,0,0
2020-08-10T20:00:00Z,0,0,0
2020-08-10T20:15:00Z,0,0,0
2020-08-10T20:30:00Z,0,0,0
2020-08-10T20:45:00Z,0,0,0
2020-08-10T21:00:00Z,0,0,0
2020-08-10T21:15:00Z,0,0,0
2020-08-10T21:30:00Z,0,0,0
2020-08-10T21:45:00Z,0,0,0
2020-08-10T22:00:00Z,0,0,0
2020-08-10T22:15:00Z,0,0,0
2020-08-10T22:30:00Z,0,0,0
2020-08-10T22:45:00Z,0,0,0
2020-08-10T23:00:00Z,0,0,0
2020-08-10T23:15:00Z,0,0,0
2020-08-10T23:30:00Z,0,0,0
2020-08-10T23:45:00Z,0,0,0
