PeriodStart,Dhi,Dni,Ghi
2020-04-01T00:00:00Z,0,0,0
2020-04-01T00:15:00Z,0,0,0
2020-04-01T00:30:00Z,0,0,0
2020-04-01T00:45:00Z,0,0,0
2020-04-01T01:00:00Z,0,0,0
2020-04-01T01:15:00Z,0,0,0
2020-04-01T01:30:00Z,0,0,0
2020-04-01T01:45:00Z,0,0,0
2020-04-01T02:00:00Z,0,0,0
2020-04-01T02:15:00Z,0,0,0
2020-04-01T02:30:00Z,0,0,0
2020-04-01T02:45:00Z,0,0,0
2020-04-01T03:00:00Z,0,0,0
2020-04-01T03:15:00Z,0,0,0
2020-04-01T03:30:00Z,0,0,0
2020-04-01T03:45:00Z,0,0,0
2020-04-01T04:00:00Z,0,0,0
2020-04-01T04:15:00Z,0,0,0
2020-04-01T04:30:00Z,0,0,0
2020-04-01T04:45:00Z,0,0,0
2020-04-01T05:00:00Z,0,0,0
2020-04-01T05:15:00Z,0,0,0
2020-04-01T05:30:00Z,0,0,0
2020-04-01T05:45:00Z,0,0,0
2020-04-01T06:00:00Z,6,0,6
2020-04-01T06:15:00Z,18,0,18
2020-04-01T06:30:00Z,32,0,32
2020-04-01T06:45:00Z,36,0,36
2020-04-01T07:00:00Z,46,0,46
2020-04-01T07:15:00Z,65,0,65
2020-04-01T07:30:00Z,89,0,89
2020-04-01T07:45:00Z,89,0,89
2020-04-01T08:00:00Z,93,0,93
2020-04-01T08:15:00Z,68,0,68
2020-04-01T08:30:00Z,47,0,47
2020-04-01T08:45:00Z,84,0,84
2020-04-01T09:00:00Z,79,0,79
2020-04-01T09:15:00Z,83,0,83
2020-04-01T09:30:00Z,115,0,115
2020-04-01T09:45:00Z,128,0,128
2020-04-01T10:00:00Z,146,0,146
2020-04-01T10:15:00Z,152,0,152
2020-04-01T10:30:00Z,140,0,140
2020-04-01T10:45:00Z,109,0,109
2020-04-01T11:00:00Z,159,0,159
2020-04-01T11:15:00Z,178,0,178
2020-04-01T11:30:00Z,99,0,99
2020-04-01T11:45:00Z,127,0,127
2020-04-01T12:00:00Z,131,0,131
2020-04-01T12:15:00Z,167,0,167
2020-04-01T12:30:00Z,147,0,147
2020-04-01T12:45:00Z,155,0,155
2020-04-01T13:00:00Z,180,0,180
2020-04-01T13:15:00Z,158,0,158
2020-04-01T13:30:00Z,131,0,131
2020-04-01T13:45:00Z,141,0,141
2020-04-01T14:00:00Z,176,0,176
2020-04-01T14:15:00Z,188,0,188
2020-04-01T14:30:00Z,228,0,228
2020-04-01T14:45:00Z,205,0,205
2020-04-01T15:00:00Z,157,0,157
2020-04-01T15:15:00Z,152,0,152
2020-04-01T15:30:00Z,151,0,151
2020-04-01T15:45:00Z,158,0,158
2020-04-01T16:00:00Z,167,0,167
2020-04-01T16:15:00Z,159,0,159
2020-04-01T16:30:00Z,140,0,140
2020-04-01T16:45:00Z,128,0,128
2020-04-01T17:00:00Z,121,0,121
2020-04-01T17:15:00Z,90,0,90
2020-04-01T17:30:00Z,64,0,64
2020-04-01T17:45:00Z,34,0,34
2020-04-01T18:00:00Z,10,0,10
2020-04-01T18:15:00Z,1,0,1
2020-04-01T18:30:00Z,0,0,0
2020-04-01T18:45:00Z,0,0,0
2020-04-01T19:00:00Z,0,0,0
2020-04-01T19:15:00Z,0,0,0
2020-04-01T19:30:00Z,0,0,0
2020-04-01T19:45:00Z,0,0,0
2020-04-01T20:00:00Z,0,0,0
2020-04-01T20:15:00Z,0,0,0
2020-04-01T20:30:00Z,0,0,0
2020-04-01T20:45:00Z,0,0,0
2020-04-01T21:00:00Z,0,0,0
2020-04-01T21:15:00Z,0,0,0
2020-04-01T21:30:00Z,0,0,0
2020-04-01T21:45:00Z,0,0,0
2020-04-01T22:00:00Z,0,0,0
2020-04-01T22:15:00Z,0,0,0
2020-04-01T22:30:00Z,0,0,0
2020-04-01T22:45:00Z,0,0,0
2020-04-01T23:00:00Z,0,0,0
2020-04-01T23:15:00Z,0,0,0
2020-04-01T23:30:00Z,0,0,0
2020-04-01T23:45:00Z,0,0,0
