PeriodStart,Dhi,Dni,Ghi
2020-09-24T00:00:00Z,0,0,0
2020-09-24T00:15:00Z,0,0,0
2020-09-24T00:30:00Z,0,0,0
2020-09-24T00:45:00Z,0,0,0
2020-09-24T01:00:00Z,0,0,0
2020-09-24T01:15:00Z,0,0,0
2020-09-24T01:30:00Z,0,0,0
2020-09-24T01:45:00Z,0,0,0
2020-09-24T02:00:00Z,0,0,0
2020-09-24T02:15:00Z,0,0,0
2020-09-24T02:30:00Z,0,0,0
2020-09-24T02:45:00Z,0,0,0
2020-09-24T03:00:00Z,0,0,0
2020-09-24T03:15:00Z,0,0,0
2020-09-24T03:30:00Z,0,0,0
2020-09-24T03:45:00Z,0,0,0
2020-09-24T04:00:00Z,0,0,0
2020-09-24T04:15:00Z,0,0,0
2020-09-24T04:30:00Z,0,0,0
2020-09-24T04:45:00Z,0,0,0
2020-09-24T05:00:00Z,0,0,0
2020-09-24T05:15:00Z,0,0,0
2020-09-24T05:30:00Z,6,0,6
2020-09-24T05:45:00Z,16,0,16
2020-09-24T06:00:00Z,25,0,25
2020-09-24T06:15:00Z,38,0,38
2020-09-24T06:30:00Z,41,0,41
2020-09-24T06:45:00Z,53,0,53
2020-09-24T07:00:00Z,98,0,98
2020-09-24T07:15:00Z,176,0,176
2020-09-24T07:30:00Z,203,0,203
2020-09-24T07:45:00Z,228,25,239
2020-09-24T08:00:00Z,247,63,275
2020-09-24T08:15:00Z,261,81,300
2020-09-24T08:30:00Z,255,209,360
2020-09-24T08:45:00Z,304,0,304
2020-09-24T09:00:00Z,312,0,312
2020-09-24T09:15:00Z,278,0,278
2020-09-24T09:30:00Z,246,0,246
2020-09-24T09:45:00Z,358,8,363
2020-09-24T10:00:00Z,344,0,344
2020-09-24T10:15:00Z,344,200,475
2020-09-24T10:30:00Z,212,581,599
2020-09-24T10:45:00Z,155,729,646
2020-09-24T11:00:00Z,209,597,614
2020-09-24T11:15:00Z,318,303,525
2020-09-24T11:30:00Z,401,9,407
2020-09-24T11:45:00Z,369,0,369
2020-09-24T12:00:00Z,337,0,337
2020-09-24T12:15:00Z,351,55,387
2020-09-24T12:30:00Z,200,580,573
2020-09-24T12:45:00Z,241,303,433
2020-09-24T13:00:00Z,163,0,163
2020-09-24T13:15:00Z,231,0,231
2020-09-24T13:30:00Z,92,0,92
2020-09-24T13:45:00Z,132,0,132
2020-09-24T14:00:00Z,216,0,216
2020-09-24T14:15:00Z,101,0,101
2020-09-24T14:30:00Z,97,0,97
2020-09-24T14:45:00Z,111,0,111
2020-09-24T15:00:00Z,88,0,88
2020-09-24T15:15:00Z,94,0,94
2020-09-24T15:30:00Z,89,0,89
2020-09-24T15:45:00Z,82,0,82
2020-09-24T16:00:00Z,73,0,73
2020-09-24T16:15:00Z,62,0,62
2020-09-24T16:30:00Z,44,0,44
2020-09-24T16:45:00Z,23,0,23
2020-09-24T17:00:00Z,8,0,8
2020-09-24T17:15:00Z,1,0,1
2020-09-24T17:30:00Z,0,0,0
2020-09-24T17:45:00Z,0,0,0
2020-09-24T18:00:00Z,0,0,0
2020-09-24T18:15:00Z,0,0,0
2020-09-24T18:30:00Z,0,0,0
2020-09-24T18:45:00Z,0,0,0
2020-09-24T19:00:00Z,0,0,0
2020-09-24T19:15:00Z,0,0,0
2020-09-24T19:30:00Z,0,0,0
2020-09-24T19:45:00Z,0,0,0
2020-09-24T20:00:00Z,0,0,0
2020-09-24T20:15:00Z,0,0,0
2020-09-24T20:30:00Z,0,0,0
2020-09-24T20:45:00Z,0,0,0
2020-09-24T21:00:00Z,0,0,0
2020-09-24T21:15:00Z,0,0,0
2020-09-24T21:30:00Z,0,0,0
2020-09-24T21:45:00Z,0,0,0
2020-09-24T22:00:00Z,0,0,0
2020-09-24T22:15:00Z,0,0,0
2020-09-24T22:30:00Z,0,0,0
2020-09-24T22:45:00Z,0,0,0
2020-09-24T23:00:00Z,0,0,0
2020-09-24T23:15:00Z,0,0,0
2020-09-24T23:30:00Z,0,0,0
2020-09-24T23:45:00Z,0,0,0
