PeriodStart,Dhi,Dni,Ghi
2020-07-09T00:00:00Z,0,0,0
2020-07-09T00:15:00Z,0,0,0
2020-07-09T00:30:00Z,0,0,0
2020-07-09T00:45:00Z,0,0,0
2020-07-09T01:00:00Z,0,0,0
2020-07-09T01:15:00Z,0,0,0
2020-07-09T01:30:00Z,0,0,0
2020-07-09T01:45:00Z,0,0,0
2020-07-09T02:00:00Z,0,0,0
2020-07-09T02:15:00Z,0,0,0
2020-07-09T02:30:00Z,0,0,0
2020-07-09T02:45:00Z,0,0,0
2020-07-09T03:00:00Z,0,0,0
2020-07-09T03:15:00Z,0,0,0
2020-07-09T03:30:00Z,0,0,0
2020-07-09T03:45:00Z,5,0,5
2020-07-09T04:00:00Z,11,0,11
2020-07-09T04:15:00Z,20,0,20
2020-07-09T04:30:00Z,50,0,50
2020-07-09T04:45:00Z,70,28,74
2020-07-09T05:00:00Z,60,0,60
2020-07-09T05:15:00Z,62,0,62
2020-07-09T05:30:00Z,55,0,55
2020-07-09T05:45:00Z,47,0,47
2020-07-09T06:00:00Z,54,0,54
2020-07-09T06:15:00Z,59,0,59
2020-07-09T06:30:00Z,76,0,76
2020-07-09T06:45:00Z,90,0,90
2020-07-09T07:00:00Z,70,0,70
2020-07-09T07:15:00Z,67,0,67
2020-07-09T07:30:00Z,102,0,102
2020-07-09T07:45:00Z,237,0,237
2020-07-09T08:00:00Z,208,0,208
2020-07-09T08:15:00Z,210,0,210
2020-07-09T08:30:00Z,181,0,181
2020-07-09T08:45:00Z,141,0,141
2020-07-09T09:00:00Z,192,0,192
2020-07-09T09:15:00Z,251,0,251
2020-07-09T09:30:00Z,175,0,175
2020-07-09T09:45:00Z,174,0,174
2020-07-09T10:00:00Z,189,0,189
2020-07-09T10:15:00Z,209,0,209
2020-07-09T10:30:00Z,191,0,191
2020-07-09T10:45:00Z,218,0,218
2020-07-09T11:00:00Z,261,0,261
2020-07-09T11:15:00Z,246,0,246
2020-07-09T11:30:00Z,211,0,211
2020-07-09T11:45:00Z,188,0,188
2020-07-09T12:00:00Z,111,0,111
2020-07-09T12:15:00Z,122,0,122
2020-07-09T12:30:00Z,174,0,174
2020-07-09T12:45:00Z,133,0,133
2020-07-09T13:00:00Z,142,0,142
2020-07-09T13:15:00Z,161,0,161
2020-07-09T13:30:00Z,136,0,136
2020-07-09T13:45:00Z,128,0,128
2020-07-09T14:00:00Z,143,0,143
2020-07-09T14:15:00Z,172,0,172
2020-07-09T14:30:00Z,193,0,193
2020-07-09T14:45:00Z,192,0,192
2020-07-09T15:00:00Z,176,0,176
2020-07-09T15:15:00Z,182,0,182
2020-07-09T15:30:00Z,188,0,188
2020-07-09T15:45:00Z,192,0,192
2020-07-09T16:00:00Z,220,0,220
2020-07-09T16:15:00Z,177,0,177
2020-07-09T16:30:00Z,148,0,148
2020-07-09T16:45:00Z,117,0,117
2020-07-09T17:00:00Z,122,0,122
2020-07-09T17:15:00Z,135,0,135
2020-07-09T17:30:00Z,118,0,118
2020-07-09T17:45:00Z,82,0,82
2020-07-09T18:00:00Z,70,0,70
2020-07-09T18:15:00Z,57,0,57
2020-07-09T18:30:00Z,50,0,50
2020-07-09T18:45:00Z,26,0,26
2020-07-09T19:00:00Z,23,0,23
2020-07-09T19:15:00Z,11,0,11
2020-07-09T19:30:00Z,2,0,2
2020-07-09T19:45:00Z,0,0,0
2020-07-09T20:00:00Z,0,0,0
2020-07-09T20:15:00Z,0,0,0
2020-07-09T20:30:00Z,0,0,0
2020-07-09T20:45:00Z,0,0,0
2020-07-09T21:00:00Z,0,0,0
2020-07-09T21:15:00Z,0,0,0
2020-07-09T21:30:00Z,0,0,0
2020-07-09T21:45:00Z,0,0,0
2020-07-09T22:00:00Z,0,0,0
2020-07-09T22:15:00Z,0,0,0
2020-07-09T22:30:00Z,0,0,0
2020-07-09T22:45:00Z,0,0,0
2020-07-09T23:00:00Z,0,0,0
2020-07-09T23:15:00Z,0,0,0
2020-07-09T23:30:00Z,0,0,0
2020-07-09T23:45:00Z,0,0,0
