,ghi,ghi_std,ghi_min,ghi_max,dni,dni_std,dni_min,dni_max,dhi,dhi_std,dhi_min,dhi_max,lwd,lwd_std,lwd_min,lwd_max,temp_air,relative_humidity,pressure
2020-01-27 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,349.0,0.1,349.0,349.0,8.1,93.0,992.0
2020-01-27 00:01:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,0.1,348.0,349.0,8.0,92.9,992.0
2020-01-27 00:02:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,0.1,349.0,349.0,8.1,92.9,992.0
2020-01-27 00:03:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,0.1,349.0,349.0,8.1,93.0,992.0
2020-01-27 00:04:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,0.2,349.0,349.0,8.1,92.9,992.0
2020-01-27 00:05:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,0.2,348.0,349.0,8.1,92.9,992.0
2020-01-27 00:06:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,0.1,349.0,349.0,8.1,92.8,992.0
2020-01-27 00:07:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,0.1,349.0,349.0,8.1,92.8,992.0
2020-01-27 00:08:00+00:00,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.1,349.0,350.0,8.1,92.9,992.0
2020-01-27 00:09:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,0.2,349.0,350.0,8.1,92.9,992.0
2020-01-27 00:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,349.0,0.1,349.0,349.0,8.1,92.9,992.0
2020-01-27 00:11:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,0.1,349.0,350.0,8.1,92.9,992.0
2020-01-27 00:12:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.2,349.0,350.0,8.1,93.0,992.0
2020-01-27 00:13:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.1,350.0,350.0,8.1,92.9,992.0
2020-01-27 00:14:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.1,350.0,350.0,8.1,92.7,992.0
2020-01-27 00:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.2,350.0,350.0,8.1,92.6,992.0
2020-01-27 00:16:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.2,350.0,350.0,8.1,92.6,992.0
2020-01-27 00:17:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.1,350.0,350.0,8.1,92.5,992.0
2020-01-27 00:18:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.1,350.0,350.0,8.1,92.6,992.0
2020-01-27 00:19:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.1,350.0,350.0,8.1,92.5,992.0
2020-01-27 00:20:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.1,350.0,350.0,8.1,92.5,992.0
2020-01-27 00:21:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.2,350.0,350.0,8.1,92.6,992.0
2020-01-27 00:22:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.1,349.0,350.0,8.1,92.5,992.0
2020-01-27 00:23:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.1,350.0,350.0,8.1,92.5,992.0
2020-01-27 00:24:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.1,349.0,350.0,8.1,92.6,992.0
2020-01-27 00:25:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,350.0,350.0,8.1,92.7,992.0
2020-01-27 00:26:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.1,350.0,350.0,8.1,92.5,992.0
2020-01-27 00:27:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.1,350.0,350.0,8.2,92.3,992.0
2020-01-27 00:28:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.1,349.0,350.0,8.2,92.3,992.0
2020-01-27 00:29:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.1,349.0,350.0,8.1,92.6,992.0
2020-01-27 00:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.1,349.0,350.0,8.1,92.7,992.0
2020-01-27 00:31:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,0.1,349.0,350.0,8.1,92.8,992.0
2020-01-27 00:32:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.1,349.0,350.0,8.1,92.7,992.0
2020-01-27 00:33:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,0.1,349.0,350.0,8.1,92.7,992.0
2020-01-27 00:34:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,0.2,349.0,350.0,8.1,92.8,992.0
2020-01-27 00:35:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,0.2,349.0,350.0,8.1,92.9,992.0
2020-01-27 00:36:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,0.1,349.0,350.0,8.1,92.8,992.0
2020-01-27 00:37:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,349.0,0.1,349.0,350.0,8.1,92.8,992.0
2020-01-27 00:38:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,0.1,349.0,349.0,8.1,92.9,992.0
2020-01-27 00:39:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,0.1,349.0,349.0,8.1,92.9,992.0
2020-01-27 00:40:00+00:00,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-1.0,0.0,349.0,0.0,349.0,349.0,8.1,92.9,992.0
2020-01-27 00:41:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,349.0,0.1,349.0,349.0,8.1,92.8,992.0
2020-01-27 00:42:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,349.0,0.1,349.0,349.0,8.1,92.6,992.0
2020-01-27 00:43:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,349.0,0.1,349.0,349.0,8.1,92.5,992.0
2020-01-27 00:44:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,349.0,0.1,349.0,349.0,8.1,92.3,992.0
2020-01-27 00:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,349.0,0.1,349.0,349.0,8.1,92.3,992.0
2020-01-27 00:46:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,349.0,0.1,349.0,349.0,8.1,92.2,992.0
2020-01-27 00:47:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,349.0,0.2,349.0,349.0,8.1,92.3,992.0
2020-01-27 00:48:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,349.0,0.1,349.0,349.0,8.1,92.2,992.0
2020-01-27 00:49:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,349.0,0.2,349.0,349.0,8.1,92.1,992.0
2020-01-27 00:50:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,349.0,0.1,349.0,349.0,8.2,92.1,992.0
2020-01-27 00:51:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,349.0,0.1,348.0,349.0,8.2,92.1,992.0
2020-01-27 00:52:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,349.0,0.1,348.0,349.0,8.2,92.0,992.0
2020-01-27 00:53:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,349.0,0.1,349.0,349.0,8.2,91.6,992.0
2020-01-27 00:54:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,349.0,0.1,349.0,349.0,8.2,91.5,992.0
2020-01-27 00:55:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,349.0,0.1,348.0,349.0,8.2,91.4,992.0
2020-01-27 00:56:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,349.0,0.2,348.0,349.0,8.2,91.3,992.0
2020-01-27 00:57:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,349.0,0.1,348.0,349.0,8.3,91.2,992.0
2020-01-27 00:58:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,349.0,0.1,348.0,349.0,8.3,91.3,992.0
2020-01-27 00:59:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,349.0,0.1,349.0,349.0,8.2,91.4,992.0
